,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
SILVER_ADJ_PRC,5189.0,15.77872520100212,8.480693433273704,4.026,4.20764,4.466,4.66,8.108,15.76,19.070999,28.327599999999993,32.61180019999999,39.46367911999999,48.584
USD_KRW_OPN_PRC,4530.0,1105.7495529183223,97.86698443152152,879.5,907.93610283,926.53700865,945.8320252999999,1056.199951,1118.594971,1159.387512,1199.699951,1239.41002205,1397.72603125,1571.5
USD_KRW_HGH_PRC,4529.0,1111.9834579863102,98.06751925558288,905.140015,918.6208228,935.2899904,955.1300168,1061.650024,1123.780029,1164.5,1205.084033,1244.199951,1421.1640137200002,1576.900024
USD_KRW_LOW_PRC,4530.0,1099.6582544900662,96.79849038859453,872.799988,897.6592977600001,921.5269991,940.709021,1050.699982,1114.5425415,1152.9874877500001,1193.9110226,1233.8044613000002,1387.15201421,1546.199951
USD_KRW_CLS_PRC,4530.0,1105.9085095101543,97.5282213531748,886.679993,914.52610783,927.76351305,946.267017,1056.17001325,1118.4699705,1159.300049,1199.5550417,1240.2650024,1399.47100696,1571.400024
USD_KRW_ADJ_PRC,4530.0,1105.9085095101543,97.5282213531748,886.679993,914.52610783,927.76351305,946.267017,1056.17001325,1118.4699705,1159.300049,1199.5550417,1240.2650024,1399.47100696,1571.400024
USD_JPY_OPN_PRC,5552.0,106.61547515291788,12.809791522140571,75.75,76.859001,79.83639825,83.73100249999999,101.53875125,108.7315025,116.22250149999999,120.6754025,123.38449790000001,131.75410503999996,134.949997
USD_JPY_HGH_PRC,5552.0,107.02304605529538,12.852893898532793,75.973999,77.05334146999999,79.9967519,84.02409700000001,101.86050075,109.110001,116.72624925,121.160004,123.7806521,132.23979795999998,135.160004
USD_JPY_LOW_PRC,5552.0,106.16825209167868,12.766707773892037,75.57,76.64853249000001,79.49524944999999,83.4136035,101.21874974999999,108.394001,115.64249975000001,120.199997,122.91999799999999,131.21469651,134.059998
USD_JPY_CLS_PRC,5552.0,106.61260094866714,12.809313745445984,75.739998,76.85902149,79.83439924999999,83.7337019,101.519997,108.730003,116.246748,120.63999899999999,123.379997,131.75389748999999,134.869995
USD_JPY_ADJ_PRC,5552.0,106.61260094866714,12.809313745445984,75.739998,76.85902149,79.83439924999999,83.7337019,101.519997,108.730003,116.246748,120.63999899999999,123.379997,131.75389748999999,134.869995
USD_EUR_OPN_PRC,4532.0,1.2589800600176524,0.11945995827958117,1.039393,1.05961208,1.087701,1.1083317,1.16031475,1.255398,1.34331,1.4176859,1.46579175,1.5677678599999998,1.598184
USD_EUR_HGH_PRC,4532.0,1.26375563239188,0.12017609360606418,1.041992,1.063151,1.0916927,1.1113622,1.16428,1.2617695,1.3476249999999999,1.4238829,1.47078505,1.5750393100000002,1.602821
USD_EUR_LOW_PRC,4532.0,1.2537525403795236,0.1201096858035015,0.072902,1.05615178,1.0837407499999998,1.1054,1.1564305,1.2505,1.338115,1.412753,1.4611872999999997,1.5611363399999996,1.587402
USD_EUR_CLS_PRC,4532.0,1.2590065152250662,0.11944890648065003,1.039047,1.05976341,1.0877142000000002,1.1083687,1.1602477500000001,1.256124,1.343201,1.4176658,1.4659487,1.5682153499999998,1.598798
USD_EUR_ADJ_PRC,4532.0,1.2590065152250662,0.11944890648065003,1.039047,1.05976341,1.0877142000000002,1.1083687,1.1602477500000001,1.256124,1.343201,1.4176658,1.4659487,1.5682153499999998,1.598798
USD_GBP_OPN_PRC,4544.0,1.5807018025968311,0.2280446658014891,1.149637,1.22030115,1.2522028500000002,1.2875579,1.381855,1.569859,1.75544825,1.923817,1.980708,2.042185,2.108415
